id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
626376751841911743,Home Nest - 1 Bedroom Apartment Downtown Vancouver,301139328,Arthur,,Downtown,49.279613,-123.124092,Entire home/apt,188,1,103,2024-04-29,4.83,1,11,66,#24-158819
626670584936455248,"Beautiful spacious condo 3 bedrooms, 4 bathrooms",459053351,H,,Downtown,49.278069,-123.119423,Entire home/apt,,30,1,2022-07-16,0.05,1,0,0,
626747419222369861,Little Charming in East,192778563,Hoang Quan,,Kensington-Cedar Cottage,49.23302636598175,-123.06821170080114,Entire home/apt,576,3,7,2024-04-29,4.38,1,246,7,24-160063
627548811081449811,Free Parking/Cambie St/ Private Bathroom,453373158,Alex,,Riley Park,49.25629,-123.11224,Entire home/apt,,2,128,2024-04-18,5.39,4,64,59,22-230596
627797252761424606,"Exclusive & Stylish DT Apt w/Pool, Sauna & Gym",353108320,Justin J,,Downtown,49.27831211091659,-123.1079287151696,Entire home/apt,217,2,87,2024-04-28,3.98,1,128,41,24-208040
627861999341961586,No smoking inside of house,423624284,Suthaharan,,Sunset,49.21843,-123.09575,Entire home/apt,180,30,0,,,1,364,0,
628492950660821905,Rent in Kitsilano for long term stay!,7802680,Ellie,,Kitsilano,49.26265,-123.15237,Entire home/apt,220,30,3,2023-09-06,0.14,1,229,2,
628536101890683784,Modern Kitsilano 1 bedroom Guest Suite,292645167,Koby,,Kitsilano,49.26006,-123.1636,Entire home/apt,95,30,8,2024-04-30,0.62,1,226,7,
629259683606195319,Lovely Coal Harbour Water View DT Vancouver Condo,5654473,Maryam,,West End,49.28751,-123.12616,Entire home/apt,132,90,5,2023-09-17,0.24,3,304,1,22-306685
629646595967645548,Private Room with Sink + Free Laundry,277717985,Shirley,,Hastings-Sunrise,49.2767,-123.02491,Private room,62,2,59,2024-04-16,2.51,2,6,27,24-158666
629885203669929457,Beautiful 2-Bedroom Condo in Heart of Vancouver,459805418,Kasia,,Riley Park,49.24005,-123.1034,Entire home/apt,584,3,16,2023-08-27,0.75,1,319,7,24-158668
630505224447950409,Stylish 3BDR Home In The Heart Of Vancouver,459947979,Alex,,Kensington-Cedar Cottage,49.24876,-123.08629,Entire home/apt,,1,17,2022-10-23,0.74,1,0,0,22-209086
630554163349053159,1 BR + Den W/Office ~ Perfect spot for Work trips!,238308886,Terry,,West End,49.29167,-123.13313,Entire home/apt,160,90,4,2023-08-18,0.33,36,269,3,
630591062999337759,Cheerful 1 Bedroom with  Private Bathroom,284135265,Yani,,Shaughnessy,49.24799,-123.13493,Private room,150,1,50,2024-02-26,2.12,2,6,36,22-231323
630752775597613567,"1 Bd room & Den, Downtown, View, Pool, Skytrain",457968969,Deena,,Downtown,49.27822,-123.10869,Entire home/apt,308,1,112,2024-03-30,4.78,1,195,48,24-158617
631141582243461534,The Sunset Beach Condo,227662329,Jordan,,West End,49.27863,-123.13565,Entire home/apt,569,1,43,2023-10-09,1.99,123,365,16,30 Day Minimum
631172552697440368,Clean 2-Bedroom Condo in the Heart of Downtown,460089495,Peter,,Downtown,49.27713,-123.128639,Entire home/apt,129,30,6,2024-04-14,0.28,1,103,4,
631438486789552656,"Modern 1 BR condo DT Vancouver,Sleeps 4 & 1Parking",348977130,Steven,,Downtown,49.2784951,-123.1296296,Entire home/apt,300,2,83,2024-04-07,3.84,1,62,51,24-158776
632036717852134362,Cozy Vancouver 3-Bedroom Guesthouse,237428056,Simon,,Renfrew-Collingwood,49.2416,-123.03441,Entire home/apt,264,2,59,2024-04-22,2.51,1,118,27,24-158259
632084028937257235,Gorgeous 2-Bed+ 1 Den Unit with Great Views,460059873,Allen,,Downtown,49.2781,-123.12379,Entire home/apt,,90,7,2023-12-23,0.33,3,28,3,
632130922006568135,Downtown 1BD Condo with free parking on premisses!,459800169,Maria K,,Downtown,49.27449,-123.12221,Entire home/apt,123,31,44,2023-11-28,1.87,1,32,3,22-201866
632678265976583916,Beautiful 1br Apartment Downtown Vancouver,247645994,Chandra,,Downtown,49.278908,-123.107994,Entire home/apt,198,1,198,2024-04-22,8.84,1,25,115,24-158684
632767601933866809,Majestic | Jacuzzi and Game Room,389024321,Cindy,,Kerrisdale,49.22265,-123.16112,Entire home/apt,646,30,20,2024-04-28,0.85,3,282,10,23-158334
632793531897217025,Residency Boutique Suites - King-suite,2693243,John,,Downtown,49.285305,-123.118256,Entire home/apt,,1,33,2022-11-15,1.40,5,0,0,Exempt
632886285729431926,Central Location. It’s new and has lots of space,166840956,Mihir,,Kensington-Cedar Cottage,49.238859593375686,-123.06527343335915,Entire home/apt,268,1,21,2024-03-31,2.40,1,211,21,24-159973
633407688487934038,⚜️Spacious 2bed/office/1park in Gastown ⚜️,459372166,Sabina,,Downtown,49.279192768590676,-123.10888857848188,Entire home/apt,189,30,77,2024-04-02,3.29,1,231,38,24-181546
633413834334929194,Cozy Treehouse at Burrard (1 Bedroom Condo),16828804,Mike,,Downtown,49.28077,-123.12564,Entire home/apt,215,2,56,2024-03-22,2.52,1,4,32,24-158612
633435043601003244,Brand new home in Kitsilano with indoor fireplace,512973393,Jasmine,,Kitsilano,49.26163,-123.14609,Entire home/apt,329,2,44,2024-04-04,1.98,1,56,23,24-158758
633486950958651716,2 bedroom suite-king and queen beds - heated floor,136598790,Vince,,Arbutus Ridge,49.25523,-123.161652,Entire home/apt,262,1,66,2024-03-29,2.89,1,339,33,24-158748
633966214914662400,Luxury Waterview Condo in Downtown with Parking,79695886,Shifa,,Downtown,49.274548,-123.127823,Entire home/apt,475,2,55,2024-03-24,2.44,1,277,30,24-158528
634039127458505827,2BR + Sofabed w/ Free Parking-10MINS to DT,96391675,Wendy,,Hastings-Sunrise,49.280959367648705,-123.0447329261999,Entire home/apt,95,90,8,2024-03-31,0.53,2,257,5,
634155444777314867,Modern condo w/ panoramic city and mountain views,458631236,Trey,,Downtown,49.280106,-123.108513,Entire home/apt,550,1,37,2023-10-22,1.59,1,89,14,23-158106
634252953382412756,Lovely 1-bedroom condo Downtown Vancouver,52896706,Sara,,Downtown,49.28948,-123.12637,Entire home/apt,198,30,2,2023-07-29,0.10,1,178,1,
634277765560068912,Modern top-floor 1-bedroom loft with free parking,459950361,Shirley,,Downtown,49.279213,-123.121483,Entire home/apt,284,1,63,2024-03-07,2.68,1,117,10,# 24-165579
634682909912162736,1 Bedroom with 1 Shared Bathroom in Shared Home,284135265,Yani,,Shaughnessy,49.2464,-123.13333,Private room,,1,12,2024-02-25,0.54,2,0,9,22231323
634799704188511630,"Beautiful loft, in heart of downtown Vancouver",460935430,Pam,,Downtown,49.27995,-123.1226,Entire home/apt,211,2,133,2024-04-24,6.40,1,19,75,24-158693
634977176911291611,"Beautiful, Simple and Cozy Yaletown apartment",130052993,Sahara,,Downtown,49.27678,-123.11745,Entire home/apt,,90,3,2023-11-08,0.17,2,10,1,17-264834
635425836809127737,"Large Private 1 Room W/ Parking, near Train",7142634,Satvir,,Renfrew-Collingwood,49.24105,-123.04106,Private room,93,28,7,2023-10-30,0.33,3,59,2,Exempt
635449286586800491,Stylish&Spacious 2beds with Central A/C,459639837,Randy,,West End,49.28234,-123.12582,Entire home/apt,,2,54,2024-04-17,2.32,1,4,37,24-160109
635575294510328650,Spacious/Air Conditioning/Central of Vancouver,47718168,M,,Oakridge,49.230484,-123.126434,Entire home/apt,700,2,24,2023-08-27,1.03,1,120,10,24-158620
636055622831288138,Joyful Two Bedroom in Central Vancouver,2064300,Eunice,,Sunset,49.22184,-123.09283,Entire home/apt,164,2,55,2023-08-21,2.36,2,22,20,23-157661
636199700415481295,Marinaside 1BD + Office Water View Condo,9582918,Sandy,,Downtown,49.27413079999999,-123.1188715,Entire home/apt,200,30,4,2024-04-08,0.69,3,274,4,
636357259042017372,Private Room w/ Desk near 29th Station,7142634,Satvir,,Renfrew-Collingwood,49.24125,-123.04077,Private room,,28,6,2023-11-30,0.28,3,29,2,Exempt
636541707361749311,"Master Bedroom W/Private Bathroom, near Train",7142634,Satvir,,Renfrew-Collingwood,49.24168,-123.03906,Private room,75,30,10,2024-01-31,0.47,3,46,4,
636542653780339189,Lovely condo in heart of Downtown,65915062,Sean,,Downtown,49.27929,-123.12049,Entire home/apt,414,4,52,2024-04-15,2.53,1,36,30,24-158892
637709720539029416,One living room and bed room monthly rental,448166442,Leo,,Downtown,49.27559,-123.11814,Entire home/apt,185,28,4,2023-07-29,0.20,1,171,2,Exempt
637770635296994623,Riverside Cozy Home 2,304779606,Janice,,Victoria-Fraserview,49.20817,-123.06793,Entire home/apt,149,1,75,2024-04-28,3.22,6,89,35,24-158658
637804622057886300,河畔舒适家园,115740184,Lisa,,Victoria-Fraserview,49.208618,-123.069122,Entire home/apt,,1,43,2024-04-26,1.86,5,0,13,24-158658
638309253284807578,Downtown Modern Studio w/Parking,3636480,Matthew,,Downtown Eastside,49.28218,-123.1066,Entire home/apt,152,3,48,2024-04-29,3.62,1,10,42,23-181425
638356290560759607,Olympic Village Penthouse - Water + City Views,407528692,Thi,,Mount Pleasant,49.26858,-123.10962,Entire home/apt,595,1,120,2024-04-24,5.16,1,201,72,22-236325
638563804431432725,Exceptionally located and very clean YVR townhouse,21852929,Inderveer,,Fairview,49.26778,-123.13862,Entire home/apt,600,30,0,,,1,364,0,
638683001952068231,Private Room in Vancouver,58897540,Kevin,,Victoria-Fraserview,49.218624,-123.076698,Private room,230,30,4,2024-01-10,0.22,8,305,2,
639207363096142908,Designer Condo with King Bed in Downtown Vancouver,3859188,Sepi,,West End,49.2840227177156,-123.12670045289128,Entire home/apt,,30,10,2024-03-23,0.46,5,0,6,
639893927189178683,Level | Luxurious Yaletown Penthouse,2502595,Level Hotels And Furnished Suites,,Downtown,49.27728,-123.12187,Entire home/apt,,30,1,2023-08-04,0.11,41,0,1,
639927443825084449,Sanctuary 3 bdrm+3 bath townhouse + roof top deck,190148024,Vici And Rafe,,Downtown Eastside,49.28047,-123.10941,Entire home/apt,483,2,56,2024-04-14,2.51,2,63,44,24-158687
640065149106989508,Lumière - Chic Urban Downtown Loft!,168268330,Rachel,,Downtown,49.27832,-123.12076,Entire home/apt,244,2,133,2024-04-21,5.77,1,109,78,24-158667
640154516395738718,Luxury Panoramic 2 Bed Condo - Downtown Vancouver,209328629,Nasrin,,Downtown,49.2814,-123.11834,Entire home/apt,257,270,3,2023-05-31,0.18,1,335,1,22-247773
640175272296394289,The 18th Ave Garden Suite,186926761,Nancy & Zubin,,Kensington-Cedar Cottage,49.25424,-123.07215,Entire home/apt,90,30,4,2024-04-18,0.19,1,283,2,
640471776476857550,Modern luxury 1 bedrom + den condo in Yaletown,200028246,Samvel,,Downtown,49.277103,-123.128587,Entire home/apt,115,90,7,2024-01-14,0.34,1,121,5,
640593750402489550,"Modern Apt Near Downtown with Parking, AC & GYM",459489866,Sai K,,Strathcona,49.26941,-123.10017,Entire home/apt,119,1,54,2024-04-16,2.46,2,8,38,24-189253
640602354753419549,1BR Top Floor Apartment Suite (Mount Pleasant),357553034,Joel,,Riley Park,49.24833,-123.09171,Entire home/apt,200,2,39,2023-09-18,1.69,1,227,17,24-159108
